id_kota;nama;sandi
196;Kab. Labuanbatu Selatan ;3324
197;Kab. Labuanbatu Utara;3325
198;Kab. Nias Barat;3326
199;Kab. Nias Utara;3327
200;Kota Tebing Tinggi ;3391
201;Kota Binjai ;3392
202;Kota Pematang Siantar ;3393
203;Kota Tanjung Balai ;3394
204;Kota Sibolga;3395
205;Kota Medan ;3396
206;Kota Gunung Sitoli;3397
207;Kota Padang Sidempuan ;3399
208;Provinsi Sumatera Barat;3400
209;Kab. Agam ;3401
210;Kab. Pasaman ;3402
211;Kab. Limapuluh Kota;3403
212;Kab. Solok Selatan;3404
213;Kab. Padang Pariaman ;3405
214;Kab. Pesisir Selatan ;3406
215;Kab. Tanah Datar ;3407
216;Kab. Sawah Lunto/Sijunjung;3408
217;Kab. Kepulauan Mentawai   ;3409
218;Kab. Pasaman Barat;3410
219;Kab. Dharmasraya;3411
220;Kab. Solok;3412
221;Kota Bukittinggi ;3491
222;Kota Padang;3492
223;Kota Sawahlunto;3493
224;Kota Padang Panjang ;3494
225;Kota Solok ;3495
226;Kota Payakumbuh ;3496
227;Kota Pariaman ;3497
228;Provinsi Riau;3500
229;Kab. Kampar;3501
230;Kab. Bengkalis ;3502
231;Kab. Indragiri Hulu ;3504
232;Kab. Indragiri Hilir;3505
233;Kab. Rokan Hulu;3508
234;Kab. Rokan Hilir   ;3509
235;Kab. Pelalawan  ;3510
236;Kab. Siak ;3511
237;Kab. Kuantan Singingi   ;3512
238;Kab. Kepulauan Meranti;3513
239;Kota Pekanbaru ;3591
240;Kota Dumai ;3592
241;Provinsi Sumatera Selatan;3600
242;Kab. Musi Banyuasin ;3606
243;Kab. Ogan Komering Ulu ;3607
244;Kab. Lematang Ilir Ogan Tengah (Muara Enim) ;3608
245;Kab. Lahat;3609
246;Kab. Musi Rawas ;3610
247;Kab. Ogan Komering Ilir ;3611
248;Kab. Banyuasin;3613
249;Kab. Ogan Komering Ulu Selatan;3614
250;Kab. Ogan Komering Ulu Timur;3615
251;Kab. Ogan Ilir;3616
252;Kab. Empat Lawang;3617
253;Kab. Musi Rawas Utara;3618
254;Kab. Penukal Abab Lematang Ilir;3619
255;Kota Palembang ;3691
256;Kota Lubuklinggau ;3693
257;Kota Prabumulih ;3694
258;Kota Pagar Alam   ;3697
259;Provinsi Kep. Bangka Belitung;3700
260;Kab. Bangka ;3701
261;Kab. Belitung;3702
262;Kab. Bangka Barat;3703
263;Kab. Bangka Selatan;3704
264;Kab. Bangka Tengah;3705
265;Kab. Belitung Timur ;3706
266;Kota Pangkal Pinang;3707
267;Kota Pangkal Pinang ;3791
268;Provinsi Kep. Riau;3800
269;Kab. Karimun;3801
270;Kab. Lingga;3802
271;Kab. Natuna;3803
272;Kab. Bintan (d/h Kabupaten Kepulauan Riau);3804
273;Kab. Kepulauan Anambas;3805
274;Kota Tanjung Pinang ;3891
275;Kota Batam;3892
276;Provinsi Lampung;3900
277;Kab. Lampung Selatan ;3901
278;Kab. Lampung Tengah ;3902
279;Kab. Lampung Utara ;3903
280;Kab. Lampung Barat ;3904
281;Kab. Tulang Bawang ;3905
282;Kab. Tanggamus ;3906
283;Kab. Lampung Timur;3907
284;Kab. Way Kanan;3908
285;Kab. Pesawaran;3909
286;Kab. Pringsewu;3910
287;Kab. Tulang Bawang Barat;3911
288;Kab. Mesuji;3912
289;Kab. Pesisir Barat;3913
290;Kota Bandar Lampung ;3991
291;Kota  Metro ;3992
292;Provinsi Kalimantan Selatan;5100
293;Kab. Banjar ;5101
294;Kab. Tanah Laut ;5102
295;Kab. Tapin ;5103
296;Kab. Hulu Sungai Selatan;5104
297;Kab. Hulu Sungai Tengah ;5105
298;Kab. Hulu Sungai Utara ;5106
299;Kab. Barito Kuala ;5107
300;Kab. Kota Baru ;5108
301;Kab. Tabalong;5109
302;Kab. Tanah Bumbu;5110
303;Kab. Balangan;5111
304;Kota Banjarmasin ;5191
305;Kota Banjarbaru ;5192
306;Provinsi Kalimantan Barat;5300
307;Kab. Pontianak ;5301
308;Kab. Sambas ;5302
309;Kab. Ketapang ;5303
310;Kab. Sanggau ;5304
311;Kab. Sintang ;5305
312;Kab. Kapuas Hulu ;5306
313;Kab. Bengkayang    ;5307
314;Kab. Landak   ;5308
315;Kab. Sekadau;5309
316;Kab. Melawi;5310
317;Kab. Kayong Utara;5311
318;Kab. Kubu Raya;5312
319;Kota Pontianak ;5391
320;Kota Singkawang ;5392
321;Provinsi Kalimantan Timur;5400
322;Kab. Kutai Kartanegara;5401
323;Kab. Berau ;5402
324;Kab. Paser;5403
325;Kab. Bulungan ;5404
326;Kab. Kutai Barat   ;5405
327;Kab. Kutai Timur ;5406
328;Kab. Nunukan;5409
329;Kab. Malinau;5410
330;Kab. Penajam Paser Utara;5411
331;Kab. Tana Tidung;5412
332;kab. Mahakam Ulu;5413
333;Kota Samarinda ;5491
334;Kota Balikpapan ;5492
335;Kota Tarakan ;5493
336;Kota Bontang ;5494
337;Provinsi Kalimantan Utara;5500
338;Provinsi Kalimantan Tengah;5800
339;Kab. Kapuas ;5801
340;Kab. Kotawaringin Barat ;5802
341;Kab. Kotawaringin Timur;5803
342;Kab. Murung Raya;5804
343;Kab. Barito Timur;5805
344;Kab. Barito Selatan ;5806
345;Kab. Gunung Mas;5807
346;Kab. Barito Utara;5808
347;Kab. Pulang Pisau;5809
348;Kab. Seruyan;5810
349;Kab. Katingan;5811
350;Kab. Sukamara;5812
351;Kab. Lamandau;5813
352;Kota Palangkaraya ;5892
353;Provinsi Sulawesi Tengah;6000
354;Kab. Donggala ;6001
355;Kab. Poso ;6002
356;Kab. Banggai ;6003
357;Kab. Toli-Toli;6004
358;Kab. Banggai Kepulauan   ;6005
359;Kab. Morowali  ;6006
360;Kab. Buol    ;6007
361;Kab. Tojo Una-Una;6008
362;Kab. Parigi Moutong;6009
363;Kab. Sigi ;6010
364;Kab. Banggai Laut;6011
365;Kab. Morowali Utara;6012
366;Kota Palu ;6091
367;Provinsi Sulawesi Selatan;6100
368;Kab. Pinrang ;6101
369;Kab. Gowa ;6102
370;Kab. Wajo ;6103
371;Kab. Bone ;6105
372;Kab. Tana Toraja ;6106
373;Kab. Maros ;6107
374;Kab. Luwu;6109
375;Kab. Sinjai ;6110
376;Kab. Bulukumba ;6111
377;Kab. Bantaeng ;6112
378;Kab. Jeneponto ;6113
379;Kab. Kepulauan Selayar ;6114
380;Kab. Takalar ;6115
381;Kab. Barru ;6116
382;Kab. Sidenreng Rappang ;6117
383;Kab. Pangkajene Kepulauan ;6118
384;Kab. Soppeng (d/h Watansoppeng) ;6119
385;Kab. Enrekang ;6121
386;Kab. Luwu Timur (d/h Luwu Selatan);6122
387;Kab. Luwu Utara  ;6124
388;Kab. Toraja Utara;6125
389;Kota Makassar;6191
390;Kota Pare-Pare ;6192
391;Kota Palopo;6193
392;Provinsi Sulawesi Utara;6200
393;Kab. Minahasa ;6202
394;Kab. Bolaang Mongondow ;6203
395;Kab. Kepulauan Sangihe ;6204
396;Kab. kepulauan Talaud ;6205
397;Kab. Minahasa Selatan ;6206
398;Kab. Minahasa Utara;6207
399;Kab. Minahasa Tenggara;6209
400;Kab. Bolaang Mongondow Utara;6210
401;Kab. Kepulauan Sitaro;6211
402;Kab. Bolaang Mongondow Selatan;6212
403;Kab. Bolaang Mongondow Timur;6213
404;Kota Manado ;6291
405;Kota Kotamobagu;6292
406;Kota Bitung ;6293
407;Kota Tomohon;6294
408;Provinsi Gorontalo;6300
409;Kab. Gorontalo ;6301
410;Kab. Bualemo   ;6302
411;Kab. Bonebolango;6303
412;Kab. Pohuwato;6304
413;Kab. Gorontalo Utara;6305
414;Kota Gorontalo ;6391
415;Provinsi Sulawesi Barat;6400
416;Kab. Polewali Mandar;6401
417;Kab. Majene ;6402
418;Kab. Mamasa ;6403
419;Kab. Mamuju Utara;6404
420;Kab. Mamuju Tengah;6405
421;Kab. Mamuju;6406
422;Kab Mamuju;6491
423;Provinsi Sulawesi Tenggara;6900
424;Kab. Buton ;6901
425;Kab. Muna ;6903
426;Kab. Kolaka ;6904
427;Kab. Wakatobi;6905
428;Kab. Konawe;6906
429;Kab. Konawe Selatan ;6907
430;Kab. Bombana;6908
431;Kab. Kolaka Utara;6909
432;Kab. Buton Utara;6910
433;Kab. Konawe Utara;6911
434;Kab. Kaloka Timur;6912
435;Kab. Konawe Kepulauan;6913
436;Kab. Buton Selatan;6914
437;Kab. Buton Tengah;6915
438;Kab. Muna Barat;6916
439;Kota Bau-Bau ;6990
440;Kota Kendari ;6991
441;Provinsi Nusa Tenggara Barat;7100
442;Kab. Lombok Barat ;7101
443;Kab. Lombok Tengah ;7102
444;Kab. Lombok Timur ;7103
445;Kab. Sumbawa ;7104
